link,color,id_product
52906_lired_a0.jpg,red,107
52909_lipbu_a0.jpg,blue,108
52909_litn2_a0.jpg,beige,108
52943_liblk_a0.jpg,black,109
52943_liden_a0.jpg,blue,109
52943_lired_a0.jpg,red,109
52948_liapr_a0.jpg,pink,110
52948_liblk_a0.jpg,black,110
52948_lichk_a0.jpg,white,110
52948_lired_a0.jpg,red,110
53005_litn2_a0.jpg,beige,111
53006_lidrx_a0.jpg,brown,112
53006_svcq_a0.jpg,black,112
53007_litn2_a0.jpg,beige,113
53032_mwbk_a0.jpg,black,114
53107_licah_a0.jpg,white,115
53107_lidtd_a0.jpg,pink,115
53108_liblk_a0.jpg,black,116
71622_qbash_a0.jpg,gray,117
71622_qbbk_a0.jpg,black,117
71622_qbdbr_a0.jpg,brown,117
71622_qbden_a0.jpg,blue,117
71622_qbmq_a0.jpg,blue,117
71622_qbred_a0.jpg,red,117
9061_blk_a0.jpg,black,118
9061_tan_a0.jpg,brown,118
9525_blk_a0.jpg,black,119
9525_tan_a0.jpg,brown,119
9790_blk_a0.jpg,black,120
9790_mah_a0.jpg,brown,120
9790_tan_a0.jpg,brown,120
9870_mah_a0.jpg,brown,121
9870_tan_a0.jpg,brown,121
9927_blk_a0.jpg,black,122
9927_mah_a0.jpg,brown,122
9927_svbk_a0.jpg,black,122
9927_tan_a0.jpg,brown,122
9951_blk_a0.jpg,black,123
9951_svbk_a0.jpg,black,123
9951_tan_a0.jpg,brown,123
9966_blk_a0.jpg,black,124
9966_svbk_a0.jpg,black,124
9966_tan_a0.jpg,brown,124
